,indice,r_ambiente,r_usd,r_metros2,r_frente,r_contrafrente,r_expensas,r_garage,r_amenities
92,86,,,,1.0,1.0,,1.0,1.0
93,87,,,,,,,,
94,88,,,,,,,,1.0
95,89,,,,,,,,
96,90,,,,,,,,
97,91,,,,,,,,
98,92,,,,,,,,
99,93,,,,,,,,
100,94,,,,,,,,
101,95,,,,,,,,
102,96,2.0,,,1.0,,,,1.0
103,97,2.0,,,1.0,1.0,,1.0,1.0
104,98,2.0,121.900,,1.0,1.0,,1.0,1.0
105,99,,,,,,,1.0,1.0
106,100,1.0,,,,,,1.0,1.0
107,101,1.0,,22,1.0,1.0,,1.0,1.0
108,102,1.0,,22,1.0,1.0,,1.0,1.0
109,103,,,,1.0,,,1.0,1.0
110,104,,,605,,,1.0,,1.0
111,105,,,1280,,,,1.0,1.0
112,106,,,1300,1.0,,,1.0,1.0
113,107,,,1300,,,,1.0,1.0
114,108,,,180,,,,1.0,1.0
115,109,,,60,,,,,1.0
116,110,,,744,1.0,,,1.0,1.0
117,111,,,90,,,,,1.0
118,112,,,90,,,,,1.0
119,113,,,480,,,,1.0,1.0
121,114,3.0,,75,1.0,,1.0,1.0,1.0
122,115,,,720,,,,1.0,1.0
123,116,,,330,1.0,,,1.0,1.0
124,117,,,950,1.0,,,,1.0
125,118,,,264,,,,,1.0
127,119,,,200,,,,1.0,1.0
128,120,3.0,,,,,,1.0,1.0
130,121,,,340,1.0,1.0,,1.0,1.0
131,122,,,,,,,1.0,1.0
132,123,,150000,534,1.0,,,1.0,1.0
133,124,,,125,,,,,
134,125,,,,,,,,
136,126,,,,1.0,,,1.0,1.0
137,127,4.0,120000,,1.0,,,,1.0
138,128,,,,,,,,
139,129,,125000,,,,,,
140,130,,,,,,,1.0,1.0
141,131,,165000,,1.0,,,,1.0
142,132,3.0,,,,,,1.0,1.0
143,133,,,,,,,,1.0
144,134,,,,1.0,1.0,,,1.0
145,135,,,,,,,,1.0
146,136,,,,,,,1.0,1.0
147,137,,,63,1.0,,1.0,,1.0
148,138,,,842,1.0,,,,
149,139,,,,,,,1.0,1.0
150,140,,,40,1.0,1.0,1.0,,
151,141,,,,,,,,1.0
152,142,3.0,,,1.0,,,,
153,143,,,36,1.0,,1.0,,
154,144,,,379,,,,1.0,1.0
155,145,,,,,,,1.0,1.0
156,146,2.0,,,1.0,,,,
157,147,,,,,,1.0,1.0,1.0
158,148,3.0,,92,,,1.0,1.0,1.0
159,149,3.0,,110,,,,1.0,1.0
160,150,,,,1.0,,,1.0,1.0
161,151,3.0,,,1.0,1.0,,1.0,1.0
162,152,,,612,1.0,,,1.0,1.0
163,153,5.0,,338,,,,1.0,1.0
164,154,,,,1.0,,,1.0,1.0
165,155,2.0,,,,,,,
167,156,,,,,,,1.0,1.0
168,157,4.0,,,1.0,,1.0,,1.0
169,158,3.0,,,1.0,1.0,,,
170,159,2.0,,,1.0,1.0,,,
172,160,3.0,,,,,1.0,,1.0
173,161,,,11,,,,,
174,162,,,,,,,,
175,163,,,,,,,,
176,164,,,,,,,,1.0
177,165,2.0,,,1.0,,1.0,,1.0
179,166,2.0,,,,,1.0,1.0,1.0
180,167,,,,1.0,,1.0,,
181,168,,,,,,,1.0,1.0
182,169,,,,,,,1.0,1.0
183,170,1.0,55.900,,,,,,
184,171,,,120,,,,1.0,1.0
185,172,,,,1.0,,,,
186,173,,,,,,,,1.0
187,174,1.0,,1910,,,,1.0,1.0
188,175,,,83,,,,1.0,1.0
189,176,,,82,,,,,1.0
190,177,,,,,,,,
191,178,1.0,,,1.0,1.0,1.0,,
192,179,,,,,,,,1.0
193,180,,,,,,,,1.0
194,181,,,,,,1.0,1.0,1.0
195,182,,,,1.0,,,1.0,1.0
196,183,,,152,,,,,
197,184,,,55,,,,1.0,1.0
198,185,,,55,1.0,,,1.0,1.0
199,186,,,,,,,1.0,1.0
200,187,5.0,,120,,,,,1.0
201,188,,,,1.0,,,,
202,189,3.0,,,1.0,,,,
203,190,,,,,,,,
204,191,,,,1.0,,,,
205,192,,,,,,,,
206,193,,,,,,,,
207,194,,,,,,,,
208,195,2.0,,,1.0,,,,
209,196,2.0,,,1.0,,,,
210,197,,,,,,,,
211,198,3.0,,,,,,,1.0
212,199,,,,,,,1.0,1.0
213,200,,,,1.0,,,,
214,201,,,,,,,1.0,1.0
215,202,,,1600,,,,1.0,1.0
216,203,,,240,,,,1.0,1.0
217,204,,,,1.0,,,,
218,205,,,,1.0,,,,1.0
219,206,,,,,,,,1.0
220,207,1.0,,41,1.0,,,1.0,1.0
221,208,1.0,,41,1.0,,,1.0,1.0
222,209,2.0,,,,,,,1.0
224,210,,,,1.0,1.0,1.0,1.0,1.0
225,211,,,387,,,,,
226,212,2.0,,30,1.0,,,1.0,1.0
227,213,2.0,,30,1.0,,,1.0,1.0
228,214,,,,,,,,1.0
229,215,,,80,1.0,,1.0,,
231,216,,,,,,1.0,1.0,1.0
232,217,,,,,,,,1.0
233,218,1.0,,41,1.0,,,1.0,1.0
234,219,,,,,,,1.0,1.0
235,220,1.0,,59,1.0,1.0,,1.0,1.0
236,221,1.0,,59,1.0,1.0,,1.0,1.0
237,222,3.0,,,,,,,1.0
239,223,,,250,1.0,,,1.0,1.0
240,224,,,160,,,,,
241,225,1.0,,,,,,1.0,1.0
242,226,1.0,,,,,,1.0,1.0
243,227,,,,1.0,,,1.0,1.0
244,228,,,450,1.0,,,1.0,1.0
245,229,1.0,,27,,,,1.0,1.0
246,230,5.0,,158,1.0,,,1.0,1.0
247,231,,,,,,1.0,,
248,232,1.0,,,1.0,,,,
250,233,1.0,,39,1.0,1.0,,1.0,1.0
251,234,,,391,,,,1.0,1.0
252,235,,,,,,,1.0,1.0
253,236,1.0,,,1.0,1.0,,,
254,237,,164,,,,,,1.0
255,238,,164,,,,,,1.0
256,239,,164,,,,,,1.0
257,240,1.0,,25,1.0,1.0,,,
258,241,1.0,,,1.0,,,,1.0
259,242,,,1000,,,,1.0,1.0
260,243,1.0,,25,1.0,1.0,,,
262,244,4.0,,,1.0,,,1.0,1.0
263,245,1.0,,,1.0,1.0,,,
264,246,3.0,,,,,,1.0,1.0
265,247,1.0,,,1.0,1.0,,,
266,248,1.0,,,1.0,1.0,,,
267,249,1.0,,,1.0,1.0,,,
268,250,1.0,,,1.0,1.0,,,
269,251,3.0,,82,,,,,1.0
270,252,,,,1.0,1.0,,1.0,1.0
271,253,4.0,,,,,1.0,1.0,1.0
272,254,1.0,,28,,,,,
273,255,,36.000,09,1.0,,,1.0,1.0
275,256,,,,,,,1.0,1.0
276,257,,,120,,,,,1.0
277,258,4.0,,,,,1.0,1.0,1.0
278,259,4.0,,,1.0,,1.0,1.0,1.0
279,260,4.0,,,,,1.0,1.0,1.0
280,261,,,601,,,,,1.0
281,262,,,,,,,,
282,263,,240.000,200,1.0,,,1.0,1.0
283,264,,220,95,,,,1.0,1.0
284,265,7.0,,200,,,,1.0,1.0
285,266,,135000,,,,,,
286,267,,95000,360,,,,,1.0
287,268,,80000,,1.0,,,,
289,269,,430000,306,1.0,1.0,,1.0,1.0
290,270,1.0,95000,38,1.0,,,,1.0
291,271,3.0,181000,71,1.0,1.0,,,1.0
292,272,,143000,,,,,1.0,1.0
293,273,,,,,,,,1.0
294,274,2.0,120000,,1.0,1.0,,,1.0
295,275,,,13,,,,,
296,276,3.0,160000,,,,,,1.0
297,277,,,305,,,1.0,,
298,278,3.0,,,,,1.0,1.0,1.0
299,279,,,,,,,1.0,1.0
300,280,2.0,,10,1.0,,,1.0,1.0
301,281,1.0,,23,1.0,,,,
302,282,,,,,,,1.0,1.0
303,283,,,,,,,1.0,1.0
304,284,1.0,,30,,,1.0,,
305,285,2.0,30.000,,,,,1.0,1.0
306,286,,,9000,,,,,1.0
307,287,3.0,,,,,,,1.0
308,288,,,,,,,,
310,289,3.0,,,,,,,1.0
311,290,3.0,,65,,,,,1.0
313,291,3.0,,,1.0,,,1.0,1.0
314,292,3.0,,,1.0,,,1.0,1.0
315,293,,320.000,,1.0,1.0,,1.0,1.0
317,294,,,,,,,1.0,1.0
318,295,,,,1.0,,,1.0,1.0
319,296,,,800,1.0,,,1.0,1.0
320,297,,,290,,,,,1.0
321,298,,,,,,,1.0,1.0
322,299,,,,,,,,
323,300,3.0,,940,,,,,1.0
324,301,,,,1.0,,,,1.0
325,302,,,1747,,,,1.0,1.0
326,303,,,,,,,,
327,304,4.0,,,1.0,,,,1.0
328,305,3.0,,,,,,,1.0
329,306,,,,1.0,,1.0,1.0,1.0
330,307,,,,1.0,,,,
331,308,,,,,,,1.0,1.0
332,309,1.0,,400,1.0,,,1.0,1.0
333,310,3.0,,,,,,1.0,1.0
334,311,,,741,,,,,
336,312,,,142,,,1.0,1.0,1.0
337,313,2.0,,48,,,,1.0,1.0
338,314,,,326,,,,1.0,1.0
339,315,,,160,,,,,1.0
340,316,,,125,1.0,,,,
341,317,,,125,1.0,,,,
342,318,,,800,,,,,
343,319,3.0,,60,1.0,1.0,,,1.0
344,320,3.0,,300,,,,,
346,321,2.0,,,,,,1.0,1.0
347,322,,,980,,,,,1.0
349,323,3.0,,86,,,1.0,1.0,1.0
351,324,,,1000,1.0,,,1.0,1.0
352,325,,,38,1.0,1.0,1.0,,1.0
353,326,3.0,,1050,,,,1.0,1.0
354,327,,,260,1.0,,,1.0,1.0
355,328,,,,,,,,1.0
356,329,,,399,,,,,
357,330,3.0,,70,,,,,
358,331,3.0,,,,,,,
359,332,,,,,,,1.0,1.0
360,333,4.0,170.000,,,,,1.0,1.0
361,334,2.0,,,1.0,1.0,,1.0,1.0
362,335,3.0,,,1.0,1.0,,1.0,1.0
363,336,,,400,,,,,1.0
364,337,,,460,,,,1.0,1.0
366,338,,,,1.0,1.0,,1.0,1.0
367,339,,,,,,,1.0,1.0
368,340,,25.000,,,,,1.0,1.0
369,341,,,,1.0,1.0,1.0,,1.0
370,342,,,,,,,,
371,343,,,,,,,,1.0
372,344,,,,,,,,
373,345,,,,,,,,
374,346,,,,,,,,
375,347,,,,,,,,
376,348,,,,,,,,
377,349,,,,,,,,
378,350,2.0,,,,,,,
379,351,1.0,,,,,1.0,,1.0
380,352,1.0,,,,,1.0,,1.0
381,353,1.0,,,,,1.0,,1.0
382,354,1.0,,,,,1.0,,1.0
383,355,1.0,,,,,1.0,,1.0
384,356,1.0,,,,,1.0,,1.0
385,357,1.0,,,,,1.0,,1.0
386,358,1.0,,,,,1.0,,1.0
387,359,1.0,,,,,1.0,,1.0
388,360,1.0,,,,,1.0,,1.0
389,361,1.0,,,,,1.0,,1.0
390,362,1.0,,,,,1.0,,1.0
391,363,1.0,,,,,1.0,,1.0
392,364,1.0,,,,,1.0,,1.0
393,365,1.0,,,,,1.0,,1.0
394,366,1.0,,,,,1.0,,1.0
395,367,1.0,,,,,1.0,,1.0
396,368,1.0,,,,,1.0,,1.0
397,369,,,375,,,,1.0,1.0
398,370,,,,1.0,,,,1.0
399,371,1.0,,,,,,,
400,372,,,,,,,,1.0
401,373,4.0,,,,,,1.0,1.0
402,374,3.0,,,,,,1.0,1.0
403,375,2.0,,,1.0,,,1.0,1.0
404,376,2.0,,,1.0,,,1.0,1.0
405,377,2.0,,,1.0,,,1.0,1.0
406,378,1.0,,,1.0,,1.0,1.0,1.0
407,379,1.0,,,1.0,,1.0,,
408,380,,,,,,,1.0,1.0
409,381,,,8500,,,,,1.0
411,382,2.0,,53,1.0,1.0,,1.0,1.0
413,383,3.0,,68,,,1.0,,1.0
414,384,1.0,21.500,42,,,,1.0,1.0
415,385,1.0,26.500,38,,,,1.0,1.0
416,386,3.0,,70,,,,,1.0
417,387,,,900,1.0,1.0,,,1.0
419,388,4.0,,,1.0,1.0,,1.0,1.0
420,389,5.0,,200,1.0,,,1.0,1.0
421,390,5.0,,200,1.0,,,1.0,1.0
422,391,,,33,1.0,1.0,,,1.0
423,392,,,33,1.0,,,,1.0
424,393,,,,,,,,1.0
425,394,,,,,,,,1.0
426,395,,,,,,,,1.0
427,396,,,,,,,,1.0
428,397,2.0,,,,,1.0,,
429,398,,,,,,,1.0,1.0
430,399,,,,1.0,,1.0,1.0,1.0
431,400,,,8500,,,,,1.0
433,401,,40.000,8500,,,,1.0,1.0
434,402,,,,,,,1.0,1.0
435,403,4.0,24.000,,1.0,,,1.0,1.0
436,404,,160.000,,,,,1.0,1.0
437,405,3.0,,,1.0,1.0,,,
438,406,,,600,,,,1.0,1.0
439,407,,,400,,,,1.0,1.0
440,408,3.0,,,,,,1.0,1.0
441,409,,,380,,,,1.0,1.0
442,410,,,220,,,,,1.0
443,411,,,,,,,,
444,412,,,,1.0,,1.0,1.0,1.0
445,413,,,,1.0,,,,
446,414,,,,,,,1.0,1.0
447,415,3.0,,120,,,1.0,1.0,1.0
448,416,5.0,,,1.0,,,,1.0
449,417,,,,,,,,1.0
450,418,4.0,,,,,,1.0,1.0
452,419,3.0,,,,,,1.0,1.0
454,420,,,150,,,,1.0,1.0
456,421,,,,,,,1.0,1.0
457,422,4.0,,,,,,1.0,1.0
458,423,,,,,,,1.0,1.0
459,424,2.0,,43,,,,,
460,425,,,,,,,1.0,1.0
461,426,,460000,1200,,,,1.0,1.0
463,427,,140000,60,1.0,,,1.0,1.0
464,428,,78000,00,1.0,,,,
465,429,2.0,130000,,,,,,1.0
466,430,,150000,45,,,1.0,1.0,1.0
468,431,,360000,,,,,1.0,1.0
469,432,,465000,1340,,,,,1.0
471,433,,385000,232,,,,,1.0
472,434,1.0,72000,,,,,,
474,435,2.0,120000,,,,,,1.0
475,436,,200000,,,,,1.0,1.0
476,437,,150000,,1.0,,,1.0,1.0
477,438,,450000,,,,,1.0,1.0
478,439,,75000,,,,,,
480,440,,,,,,,1.0,1.0
481,441,2.0,40000,,,,1.0,,
482,442,,,,1.0,,,,
483,443,,,,,,,1.0,1.0
484,444,2.0,,,,,1.0,,
485,445,,,,1.0,,,1.0,1.0
486,446,,,,,,1.0,1.0,1.0
488,447,,,,,,,,1.0
489,448,,,,1.0,,1.0,,
490,449,,,242,,,,1.0,1.0
491,450,2.0,,,,,1.0,,1.0
492,451,,,,,,1.0,,1.0
493,452,2.0,,,1.0,,,,
494,453,,,225,,,,,
495,454,,,,1.0,1.0,,,1.0
496,455,,,,,,,,
497,456,1.0,,16,,,,1.0,1.0
498,457,2.0,,,,,,1.0,1.0
499,458,,,,,,,1.0,1.0
500,459,2.0,,,,,,1.0,1.0
501,460,3.0,,,,,,,1.0
503,461,4.0,,140,1.0,1.0,,1.0,1.0
504,462,2.0,,77,,,,1.0,1.0
505,463,2.0,,77,,,,1.0,1.0
506,464,4.0,,,,,,1.0,1.0
507,465,1.0,,,1.0,1.0,,,
508,466,,450.000,1000,,,,,
509,467,,,,1.0,,,1.0,1.0
511,468,,,,1.0,,,1.0,1.0
512,469,4.0,,,,,,,
513,470,,,,,,,,
514,471,1.0,,38,,,,1.0,1.0
515,472,3.0,,78,1.0,,,1.0,1.0
516,473,2.0,,55,1.0,,,1.0,1.0
517,474,,,760,,,,1.0,1.0
518,475,,,281,,,,,1.0
520,476,,,,1.0,,1.0,1.0,1.0
522,477,2.0,,,1.0,1.0,,1.0,1.0
524,478,,,30,,,,1.0,1.0
525,479,,,,,,,,
527,480,,,,,,,1.0,1.0
529,481,4.0,,,1.0,1.0,,1.0,1.0
530,482,,,,,,,,1.0
531,483,2.0,,49,,,,,1.0
532,484,,,,1.0,,,,1.0
533,485,,,,1.0,,,,
534,486,,,,,,,,
535,487,,,,,,,1.0,1.0
537,488,2.0,,,,,,1.0,1.0
538,489,,,,1.0,,,1.0,1.0
539,490,,,189,,,,1.0,1.0
541,491,,,122,,,1.0,1.0,1.0
542,492,,,,1.0,,,,1.0
543,493,,,264,,,,,1.0
544,494,,,,,,,1.0,1.0
545,495,,,,,,,1.0,1.0
546,496,,,9,,,1.0,,
547,497,,,,,,,,
548,498,,,,,,,,
549,499,1.0,,,,,,,
551,500,,,59,,,,1.0,1.0
552,501,,,84,,,,,
553,502,,890.000,320,,,,1.0,1.0
554,503,,,160,,,,,1.0
555,504,,,291,,,,1.0,1.0
557,505,,,1000,,,,1.0,1.0
558,506,,,230,,,,,1.0
559,507,,,297,,,,,1.0
560,508,,,416,,,,,1.0
561,509,,,45000,,,,,1.0
563,510,2.0,,52,,,,1.0,1.0
564,511,,,200,1.0,,,,1.0
565,512,,,25,,,,1.0,1.0
566,513,,170.000,,,,,,1.0
567,514,,,547,,,,,
569,515,2.0,,52,,,1.0,1.0,1.0
570,516,,,1132,,,,,1.0
571,517,,,254,1.0,,,,1.0
572,518,,,1050,,,,,1.0
573,519,3.0,,68,,,,1.0,1.0
574,520,,,980,,,,,1.0
575,521,,,150,,,,,1.0
576,522,,,685,,,,,1.0
577,523,,,60,,,,,1.0
578,524,,,287,,,,,1.0
579,525,,,7500,,,,,
580,526,,,60,1.0,1.0,,1.0,1.0
581,527,,,,,,,,
582,528,,,,,,,,
583,529,,,,1.0,,,1.0,1.0
584,530,1.0,,,,,1.0,1.0,1.0
585,531,1.0,,,1.0,1.0,,,
586,532,1.0,,,1.0,,,,
587,533,,,,,,,1.0,1.0
588,534,,,120,,,,1.0,1.0
589,535,3.0,,,,,,1.0,1.0
590,536,1.0,,,1.0,,,,
591,537,,,,1.0,1.0,,1.0,1.0
592,538,1.0,,2290,1.0,1.0,,1.0,1.0
593,539,1.0,,2290,1.0,,,1.0,1.0
594,540,1.0,,,1.0,,,1.0,1.0
595,541,,,80,1.0,1.0,,,1.0
596,542,,,221,,,,,1.0
597,543,1.0,,,1.0,1.0,,,
598,544,4.0,,,,,,,1.0
599,545,3.0,,,1.0,1.0,,1.0,1.0
600,546,3.0,,,1.0,,,,1.0
601,547,3.0,,,1.0,1.0,,1.0,1.0
602,548,4.0,,,1.0,,1.0,1.0,1.0
603,549,2.0,,,,,1.0,,
604,550,4.0,,,1.0,,1.0,1.0,1.0
605,551,4.0,,,1.0,1.0,,1.0,1.0
606,552,,,74,1.0,,,1.0,1.0
607,553,1.0,,,1.0,,,,
608,554,,,,,,,1.0,1.0
609,555,,,75,1.0,,,1.0,1.0
610,556,,,,1.0,,,1.0,1.0
611,557,,,,1.0,,1.0,,1.0
612,558,1.0,,52,1.0,,1.0,,1.0
613,559,,,150,,,,,
614,560,3.0,,50,,,,,
615,561,3.0,,,,,,1.0,1.0
616,562,2.0,,,,,,1.0,1.0
617,563,1.0,,,1.0,,,,1.0
618,564,1.0,,33,1.0,,,,
620,565,,26.500,8,1.0,,,1.0,1.0
621,566,,,,,,,,1.0
622,567,,,105,1.0,1.0,,1.0,1.0
623,568,,170.000,,,,,,1.0
624,569,,,,,,,1.0,1.0
625,570,,,,1.0,1.0,,,
626,571,,,,,,,,
627,572,,,,,,,1.0,1.0
628,573,,,000,,,,1.0,1.0
629,574,3.0,,,,,1.0,1.0,1.0
630,575,4.0,,,,,1.0,1.0,1.0
631,576,2.0,,,,,1.0,1.0,1.0
632,577,2.0,,,,,1.0,1.0,1.0
633,578,3.0,,11,,,,1.0,1.0
634,579,3.0,,,,,1.0,1.0,1.0
635,580,2.0,,,,,,1.0,1.0
636,581,2.0,,61,1.0,,,1.0,1.0
637,582,,,,,,,,1.0
638,583,,,,,,,,1.0
639,584,,,61,,,,1.0,1.0
640,585,,,,,,1.0,,
641,586,,,1200,,,,,1.0
642,587,,,,,,,,1.0
643,588,,,,,,,1.0,1.0
644,589,,,,,,,1.0,1.0
645,590,,,,,,,1.0,1.0
646,591,3.0,,,,,1.0,1.0,1.0
647,592,,,1069,1.0,,,,1.0
648,593,,,989,,,,,1.0
650,594,,,,,,1.0,1.0,1.0
651,595,,,,,,,,1.0
652,596,3.0,,,,,,1.0,1.0
653,597,3.0,,,1.0,,,1.0,1.0
654,598,2.0,,,,,1.0,1.0,1.0
655,599,1.0,,,,,1.0,1.0,1.0
656,600,,,,1.0,,,,1.0
657,601,,,,,,,,
658,602,3.0,,,1.0,,,1.0,1.0
660,603,2.0,,,,,,1.0,1.0
661,604,,,,,,,,
662,605,2.0,,,,,,1.0,1.0
663,606,,,,,,,1.0,1.0
664,607,2.0,213.000,75,,,,1.0,1.0
665,608,3.0,413.000,75,,,,1.0,1.0
666,609,3.0,413.000,75,,,,1.0,1.0
667,610,5.0,813.000,75,,,,1.0,1.0
668,611,,,1000,,,,,1.0
669,612,,,,,,,,1.0
670,613,,,000,,,1.0,1.0,1.0
671,614,,,,,,,,1.0
672,615,4.0,,,,,,1.0,1.0
673,616,3.0,,,,,1.0,1.0,1.0
674,617,2.0,,,,,,1.0,1.0
675,618,2.0,,,,,,1.0,1.0
676,619,3.0,,,,,,1.0,1.0
677,620,,,,,,1.0,1.0,1.0
678,621,3.0,,,,,,1.0,1.0
679,622,,,,,,,1.0,1.0
680,623,2.0,,,,,,1.0,1.0
681,624,2.0,,,,,,1.0,1.0
682,625,2.0,,,,,,1.0,1.0
683,626,2.0,,,,,,1.0,1.0
684,627,2.0,,,,,,1.0,1.0
685,628,,,,,,,,1.0
686,629,1.0,,,,,,1.0,1.0
687,630,2.0,,,,,,1.0,1.0
688,631,,,,,,,1.0,1.0
689,632,2.0,,,,,,1.0,1.0
690,633,,,,,,,,1.0
691,634,2.0,,,1.0,,,1.0,1.0
692,635,,,,,,,,1.0
693,636,2.0,,50,1.0,,,1.0,1.0
694,637,3.0,94.000,55,,,1.0,,1.0
695,638,,,210,1.0,,1.0,,
696,639,3.0,94.000,55,,,1.0,,1.0
697,640,3.0,94.000,55,,,1.0,,1.0
698,641,,105.000,28,1.0,,,1.0,1.0
699,642,,,,,,,,1.0
700,643,1.0,,36,1.0,,,1.0,1.0
701,644,,,,,,1.0,1.0,1.0
702,645,2.0,,61,1.0,,,1.0,1.0
704,646,,,,,,,,1.0
705,647,1.0,,,1.0,,,,1.0
706,648,1.0,,,1.0,,,,1.0
707,649,,,,1.0,1.0,,,1.0
708,650,,,,1.0,,,,
709,651,1.0,,,1.0,,1.0,1.0,1.0
710,652,1.0,,,,,,,
711,653,,,,1.0,,,,1.0
713,654,,,56,1.0,,1.0,1.0,1.0
714,655,2.0,,,,,,,
715,656,1.0,23.000,38,1.0,1.0,,1.0,1.0
716,657,2.0,,,,,,1.0,1.0
717,658,3.0,,,1.0,,,1.0,1.0
718,659,,99800,14,,,1.0,1.0,1.0
719,660,,375000,,,,,,1.0
720,661,,,,,,,,
721,662,2.0,,,1.0,1.0,,,
722,663,2.0,54000,35,1.0,,,,
724,664,2.0,,,1.0,,,1.0,1.0
725,665,,95000,,,,,,
726,666,,,60,,,,,
728,667,3.0,,,,,,1.0,1.0
729,668,3.0,,,,,,,
730,669,3.0,,70,,,,1.0,1.0
731,670,2.0,65.000,,,,,,1.0
732,671,,,,,,,1.0,1.0
733,672,,,,,,,1.0,1.0
734,673,,100.000,,1.0,,,,
735,674,3.0,,,,,,1.0,1.0
737,675,3.0,,7,,,,1.0,1.0
738,676,,,,,,,,1.0
740,677,,,,1.0,1.0,,1.0,1.0
742,678,3.0,,,,,1.0,1.0,1.0
743,679,,,,,,,,
744,680,,,,1.0,,,,
745,681,,,,1.0,,,,1.0
746,682,,,,,,,,1.0
747,683,2.0,,,1.0,,,,
748,684,4.0,,,1.0,,1.0,,1.0
749,685,,,,1.0,,,,
750,686,2.0,,67,1.0,,,,
751,687,3.0,,,,,1.0,,1.0
752,688,,,,,,,,1.0
753,689,,,,,,,,1.0
754,690,2.0,,31,1.0,,1.0,,1.0
755,691,,,,,,,1.0,1.0
756,692,,,,,,,1.0,1.0
757,693,,,,,,,1.0,1.0
758,694,,,,,,,1.0,1.0
759,695,,,,,,,1.0,1.0
760,696,4.0,,,1.0,,1.0,,1.0
761,697,2.0,,,1.0,,1.0,,
762,698,2.0,,,,,1.0,,1.0
763,699,2.0,,50,,,,,1.0
764,700,2.0,,50,,,,,1.0
765,701,,,,,,,1.0,1.0
766,702,,,,1.0,,,,1.0
767,703,,,,,,,,1.0
768,704,,,,,,,,1.0
769,705,,,,1.0,,,,1.0
770,706,,,,,,,,1.0
771,707,,,,1.0,,,,1.0
772,708,,,,,,,,1.0
773,709,,,,,,,,1.0
774,710,,,,1.0,,,1.0,1.0
775,711,,,,1.0,,,,
776,712,3.0,,,1.0,,,,1.0
777,713,4.0,,,,,,,1.0
778,714,6.0,,36,,,,1.0,1.0
779,715,3.0,,,,,,,
780,716,,,,1.0,,,1.0,1.0
781,717,,,,,,,1.0,1.0
782,718,,,,1.0,,,,1.0
